,Release Date,Actual,Forecast
129,"Feb 07, 2014",113K,185K
130,"Jan 10, 2014",74K,196K
131,"Dec 06, 2013",203K,180K
132,"Nov 08, 2013",204K,125K
133,"Oct 22, 2013",148K,180K
134,"Sep 06, 2013",169K,180K
135,"Aug 02, 2013",162K,184K
136,"Jul 05, 2013",195K,165K
137,"Jun 07, 2013",175K,170K
138,"May 03, 2013",165K,145K
139,"Apr 05, 2013",88K,200K
140,"Mar 08, 2013",236K,160K
141,"Feb 01, 2013",157K,160K
142,"Jan 04, 2013",155K,150K
143,"Dec 07, 2012",146K,93K
144,"Nov 02, 2012",171K,125K
145,"Oct 05, 2012",114K,113K
146,"Sep 07, 2012",96K,125K
147,"Aug 03, 2012",163K,100K
148,"Jul 06, 2012",80K,90K
149,"Jun 01, 2012",69K,150K
150,"May 04, 2012",115K,170K
151,"Apr 06, 2012",120K,203K
152,"Mar 09, 2012",227K,210K
153,"Feb 03, 2012",243K,150K
154,"Jan 06, 2012",200K,150K
155,"Dec 02, 2011",120K,120K
156,"Nov 04, 2011",80K,95K
157,"Oct 07, 2011",103K,53K
158,"Sep 02, 2011",0K,74K
159,"Aug 05, 2011",117K,95K
160,"Jul 08, 2011",18K,89K
161,"Jun 03, 2011",54K,169K
162,"May 06, 2011",244K,185K
163,"Apr 01, 2011",216K,188K
164,"Mar 04, 2011",192K,180K
165,"Feb 04, 2011",36K,150K
166,"Jan 07, 2011",103K,150K
167,"Dec 03, 2010",39K,140K
168,"Nov 05, 2010",151K,60K
169,"Oct 08, 2010",-95K,3K
170,"Sep 03, 2010",-54K,-118K
171,"Aug 06, 2010",-131K,-65K
172,"Jul 02, 2010",-125K,-100K
173,"Jun 04, 2010",431K,500K
174,"May 07, 2010",290K,187K
175,"Apr 02, 2010",162K,190K
176,"Mar 05, 2010",-36K,-55K
177,"Feb 05, 2010",-20K,15K
178,"Jan 08, 2010",-85K,0K
179,"Dec 04, 2009",-11K,-114K
180,"Nov 06, 2009",-190K,-166K
181,"Oct 02, 2009",-263K,-190K
182,"Sep 04, 2009",-216K,-220K
183,"Aug 07, 2009",-247K,-330K
184,"Jul 02, 2009",-467K,-375K
185,"Jun 05, 2009",-345K,-521K
186,"May 08, 2009",-539K,-580K
187,"Apr 03, 2009",-663K,-662K
188,"Mar 06, 2009",-651K,-636K
189,"Feb 06, 2009",-598K,-530K
190,"Jan 09, 2009",-524K,-475K
191,"Dec 05, 2008",-533K,-320K
192,"Nov 07, 2008",-240K,-200K
193,"Oct 03, 2008",-159K,-100K
194,"Sep 05, 2008",-84K,-73K
195,"Aug 01, 2008",-51K,-75K
196,"Jul 03, 2008",-62K,-60K
197,"Jun 06, 2008",-49K,-57K
198,"May 02, 2008",-20K,-80K
199,"Apr 04, 2008",-80K,-50K
200,"Mar 07, 2008",-63K,25K
201,"Feb 01, 2008  (Jan)",-22K,
202,"Jan 04, 2008  (Dec)",82K,
203,"Dec 07, 2007  (Nov)",115K,
204,"Nov 02, 2007  (Oct)",170K,
205,"Oct 05, 2007  (Sep)",96K,
206,"Sep 07, 2007  (Aug)",93K,
207,"Aug 03, 2007  (Jul)",68K,
208,"Jul 06, 2007  (Jun)",69K,
209,"Jun 01, 2007  (May)",190K,
210,"May 04, 2007  (Apr)",80K,
211,"Apr 06, 2007  (Mar)",177K,
212,"Mar 09, 2007  (Feb)",97K,
213,"Feb 02, 2007  (Jan)",237K,
214,"Jan 05, 2007  (Dec)",172K,
215,"Dec 08, 2006  (Nov)",209K,
216,"Nov 03, 2006  (Oct)",3K,
217,"Oct 06, 2006  (Sep)",156K,
218,"Sep 01, 2006  (Aug)",185K,
219,"Aug 04, 2006  (Jul)",206K,
220,"Jul 07, 2006  (Jun)",77K,
221,"Jun 02, 2006  (May)",24K,
222,"May 05, 2006  (Apr)",182K,
223,"Apr 07, 2006  (Mar)",281K,
224,"Mar 10, 2006  (Feb)",315K,
225,"Feb 03, 2006  (Jan)",277K,
226,"Jan 06, 2006  (Dec)",158K,
227,"Dec 02, 2005  (Nov)",337K,
228,"Nov 04, 2005  (Oct)",84K,
229,"Oct 07, 2005  (Sep)",66K,
230,"Sep 02, 2005  (Aug)",196K,
231,"Aug 05, 2005  (Jul)",375K,
232,"Jul 08, 2005  (Jun)",243K,
233,"Jun 03, 2005  (May)",176K,
234,"May 06, 2005  (Apr)",363K,
235,"Apr 01, 2005  (Mar)",135K,
236,"Mar 04, 2005  (Feb)",239K,
237,"Feb 04, 2005  (Jan)",134K,
238,"Jan 07, 2005  (Dec)",129K,
239,"Dec 03, 2004  (Nov)",64K,
240,"Nov 05, 2004  (Oct)",345K,
241,"Oct 08, 2004  (Sep)",162K,
242,"Sep 03, 2004  (Aug)",132K,
243,"Aug 06, 2004  (Jul)",33K,
244,"Jul 02, 2004  (Jun)",74K,
245,"Jun 04, 2004  (May)",308K,
246,"May 07, 2004  (Apr)",248K,
247,"Apr 02, 2004  (Mar)",331K,
248,"Mar 05, 2004  (Feb)",46K,
249,"Feb 06, 2004  (Jan)",160K,
250,"Jan 09, 2004  (Dec)",123K,
251,"Dec 05, 2003  (Nov)",17K,
252,"Nov 07, 2003  (Oct)",196K,
253,"Oct 03, 2003  (Sep)",103K,
254,"Sep 05, 2003  (Aug)",-43K,
255,"Aug 01, 2003  (Jul)",24K,
256,"Jul 03, 2003  (Jun)",9K,
257,"Jun 06, 2003  (May)",-10K,
258,"May 02, 2003  (Apr)",-44K,
259,"Apr 04, 2003  (Mar)",-210K,
260,"Mar 07, 2003  (Feb)",-151K,
261,"Feb 07, 2003  (Jan)",91K,
262,"Jan 10, 2003  (Dec)",-157K,
263,"Dec 06, 2002  (Nov)",10K,
264,"Nov 01, 2002  (Oct)",125K,
265,"Oct 04, 2002  (Sep)",-60K,
266,"Sep 06, 2002  (Aug)",-16K,
267,"Aug 02, 2002  (Jul)",-84K,
268,"Jul 05, 2002  (Jun)",56K,
269,"Jun 07, 2002  (May)",-8K,
270,"May 03, 2002  (Apr)",-80K,
271,"Apr 05, 2002  (Mar)",-20K,
272,"Mar 08, 2002  (Feb)",-134K,
273,"Feb 01, 2002  (Jan)",-139K,
274,"Jan 04, 2002  (Dec)",-171K,
275,"Dec 07, 2001  (Nov)",-294K,
276,"Nov 02, 2001  (Oct)",-325K,
277,"Oct 05, 2001  (Sep)",-241K,
278,"Sep 07, 2001  (Aug)",-160K,
279,"Aug 03, 2001  (Jul)",-112K,
280,"Jul 06, 2001  (Jun)",-131K,
281,"Jun 01, 2001  (May)",-38K,
282,"May 04, 2001  (Apr)",-282K,
283,"Apr 06, 2001  (Mar)",-25K,
284,"Mar 09, 2001  (Feb)",71K,
285,"Feb 02, 2001  (Jan)",-27K,
286,"Jan 05, 2001  (Dec)",142K,
287,"Dec 08, 2000  (Nov)",225K,
288,"Nov 03, 2000  (Oct)",-15K,
289,"Oct 06, 2000  (Sep)",135K,
290,"Sep 01, 2000  (Aug)",-15K,
291,"Aug 04, 2000  (Jul)",179K,
292,"Jul 07, 2000  (Jun)",-47K,
293,"Jun 02, 2000  (May)",226K,
294,"May 05, 2000  (Apr)",287K,
295,"Apr 07, 2000  (Mar)",467K,
296,"Mar 03, 2000  (Feb)",130K,
297,"Feb 04, 2000  (Jan)",231K,
298,"Jan 07, 2000  (Dec)",295K,
299,"Dec 03, 1999  (Nov)",292K,
300,"Nov 05, 1999  (Oct)",400K,
301,"Oct 01, 1999  (Sep)",214K,
302,"Sep 03, 1999  (Aug)",166K,
303,"Aug 06, 1999  (Jul)",319K,
304,"Jul 02, 1999  (Jun)",261K,
305,"Jun 04, 1999  (May)",211K,
306,"May 07, 1999  (Apr)",376K,
307,"Apr 02, 1999  (Mar)",107K,
308,"Mar 05, 1999  (Feb)",411K,
309,"Feb 05, 1999  (Jan)",125K,
310,"Jan 01, 1999  (Dec)",347K,
311,"Dec 04, 1998  (Nov)",282K,
312,"Nov 06, 1998  (Oct)",198K,
313,"Oct 02, 1998  (Sep)",223K,
314,"Sep 04, 1998  (Aug)",347K,
315,"Aug 07, 1998  (Jul)",124K,
316,"Jul 03, 1998  (Jun)",218K,
317,"Jun 05, 1998  (May)",406K,
318,"May 01, 1998  (Apr)",279K,
319,"Apr 03, 1998  (Mar)",151K,
320,"Mar 06, 1998  (Feb)",196K,
321,"Feb 06, 1998  (Jan)",276K,
322,"Jan 02, 1998  (Dec)",303K,
323,"Dec 05, 1997  (Nov)",306K,
324,"Nov 07, 1997  (Oct)",341K,
325,"Oct 03, 1997  (Sep)",512K,
326,"Sep 05, 1997  (Aug)",-39K,
327,"Aug 01, 1997  (Jul)",313K,
328,"Jul 04, 1997  (Jun)",267K,
329,"Jun 06, 1997  (May)",259K,
330,"May 02, 1997  (Apr)",292K,
331,"Apr 04, 1997  (Mar)",316K,
332,"Mar 07, 1997  (Feb)",303K,
333,"Feb 07, 1997  (Jan)",235K,
334,"Jan 03, 1997  (Dec)",171K,
335,"Dec 06, 1996  (Nov)",298K,
336,"Nov 01, 1996  (Oct)",250K,
337,"Oct 04, 1996  (Sep)",225K,
338,"Sep 06, 1996  (Aug)",172K,
339,"Aug 02, 1996  (Jul)",256K,
340,"Jul 05, 1996  (Jun)",288K,
341,"Jun 07, 1996  (May)",321K,
342,"May 03, 1996  (Apr)",164K,
343,"Apr 05, 1996  (Mar)",267K,
