,Date,IAU,SLV,CPER
1594,2016-05-14,24.56,16.28,13.9
1593,2016-05-13,24.56,16.28,13.9
1592,2016-05-12,24.46,16.22,13.81
1591,2016-05-11,24.66,16.56,13.87
1590,2016-05-10,24.44,16.28,13.87
1589,2016-05-09,24.34,16.12,14.221
1588,2016-05-08,24.88,16.63,14.221
1587,2016-05-07,24.88,16.63,14.221
1586,2016-05-06,24.88,16.63,14.221
1585,2016-05-05,24.68,16.51,14.25
1584,2016-05-04,24.72,16.49,14.51
1583,2016-05-03,24.84,16.57,14.728
1582,2016-05-02,24.9,16.64,15.0399
1581,2016-05-01,24.96,16.98,15.0601
1580,2016-04-30,24.96,16.98,15.0601
1579,2016-04-29,24.96,16.98,15.0601
1578,2016-04-28,24.46,16.77,14.79
1577,2016-04-27,24.04,16.38,14.7532
1576,2016-04-26,23.98,16.29,14.8915
1575,2016-04-25,23.86,16.17,14.8915
1574,2016-04-24,23.82,16.13,15.0101
1573,2016-04-23,23.82,16.13,15.0101
1572,2016-04-22,23.82,16.13,15.0101
1571,2016-04-21,24.1,16.21,14.9899
1570,2016-04-20,24.0,16.14,14.81
1569,2016-04-19,24.12,16.12,14.8335
1568,2016-04-18,23.74,15.42,14.49
1567,2016-04-17,23.82,15.46,14.39
1566,2016-04-16,23.82,15.46,14.39
1565,2016-04-15,23.82,15.46,14.39
1564,2016-04-14,23.66,15.34,14.53
1563,2016-04-13,24.0,15.44,14.49
1562,2016-04-12,24.26,15.41,14.3099
1561,2016-04-11,24.24,15.14,13.9108
1560,2016-04-10,23.92,14.62,13.87
1559,2016-04-09,23.92,14.62,13.87
1558,2016-04-08,23.92,14.62,13.87
1557,2016-04-07,23.96,14.48,13.794
1556,2016-04-06,23.62,14.34,14.21
1555,2016-04-05,23.76,14.42,14.2833
1554,2016-04-04,23.44,14.2,14.37
1553,2016-04-03,23.62,14.34,14.405
1552,2016-04-02,23.62,14.34,14.405
1551,2016-04-01,23.62,14.34,14.405
1550,2016-03-31,23.76,14.68,14.527
1549,2016-03-30,23.66,14.49,14.527
1548,2016-03-29,23.96,14.6,14.7
1547,2016-03-28,23.56,14.46,14.885
1546,2016-03-27,23.5,14.43,14.8
1545,2016-03-26,23.5,14.43,14.8
1544,2016-03-25,23.5,14.43,14.8
1543,2016-03-24,23.5,14.43,14.8
1542,2016-03-23,23.52,14.51,14.848
1541,2016-03-22,24.1,15.12,15.2499
1540,2016-03-21,24.02,15.06,15.29
1539,2016-03-20,24.2,15.03,15.33
1538,2016-03-19,24.2,15.03,15.33
1537,2016-03-18,24.2,15.03,15.33
1536,2016-03-17,24.26,15.16,15.3
1535,2016-03-16,24.32,14.87,15.09
1534,2016-03-15,23.82,14.54,14.9199
1533,2016-03-14,23.78,14.58,14.94
1532,2016-03-13,24.12,14.72,14.908
1531,2016-03-12,24.12,14.72,14.908
1530,2016-03-11,24.12,14.72,14.908
1529,2016-03-10,24.54,14.82,14.7335
1528,2016-03-09,24.16,14.53,14.9093
1527,2016-03-08,24.34,14.62,14.7799
1526,2016-03-07,24.46,14.9,15.1458
1525,2016-03-06,24.34,14.76,14.9912
1524,2016-03-05,24.34,14.76,14.9912
1523,2016-03-04,24.34,14.76,14.9912
1522,2016-03-03,24.34,14.5,14.6789
1521,2016-03-02,23.94,14.25,14.4594
1520,2016-03-01,23.76,14.17,14.29
1519,2016-02-29,23.98,14.2,14.09
1518,2016-02-28,23.62,14.02,14.1
1517,2016-02-27,23.62,14.02,14.1
1516,2016-02-26,23.62,14.02,14.1
1515,2016-02-25,23.84,14.41,13.84
1514,2016-02-24,23.72,14.52,14.12
1513,2016-02-23,23.68,14.54,14.06
1512,2016-02-22,23.3,14.43,14.14
1511,2016-02-21,23.72,14.64,13.79
1510,2016-02-20,23.72,14.64,13.79
1509,2016-02-19,23.72,14.64,13.79
1508,2016-02-18,23.9,14.76,13.8199
1507,2016-02-17,23.28,14.54,13.83
1506,2016-02-16,23.14,14.51,13.4883
1505,2016-02-15,23.88,14.99,13.4883
1504,2016-02-14,23.88,14.99,13.4883
1503,2016-02-13,23.88,14.99,13.4883
1502,2016-02-12,23.88,14.99,13.4883
1501,2016-02-11,24.06,14.95,13.38
1500,2016-02-10,23.08,14.55,13.22
1499,2016-02-09,22.92,14.51,13.5099
1498,2016-02-08,23.0,14.59,13.89
1497,2016-02-07,22.66,14.34,13.8457
1496,2016-02-06,22.66,14.34,13.8457
1495,2016-02-05,22.66,14.34,13.8457
1494,2016-02-04,22.34,14.17,14.0926
1493,2016-02-03,22.06,13.95,13.56
1492,2016-02-02,21.82,13.62,13.56
1491,2016-02-01,21.82,13.67,13.72
1490,2016-01-31,21.56,13.59,13.62
1489,2016-01-30,21.56,13.59,13.62
1488,2016-01-29,21.56,13.59,13.62
1487,2016-01-28,21.5,13.57,13.62
1486,2016-01-27,21.72,13.81,13.62
1485,2016-01-26,21.66,13.82,13.4701
1484,2016-01-25,21.42,13.58,13.28
1483,2016-01-24,21.18,13.38,13.35
1482,2016-01-23,21.18,13.38,13.35
1481,2016-01-22,21.18,13.38,13.35
1480,2016-01-21,21.3,13.46,13.21
1479,2016-01-20,21.28,13.48,13.24
1478,2016-01-19,21.0,13.36,14.39
1477,2016-01-18,21.02,13.24,12.9699
1476,2016-01-17,21.02,13.24,12.9699
1475,2016-01-16,21.02,13.24,12.9699
1474,2016-01-15,21.02,13.24,12.9699
1473,2016-01-14,20.78,13.19,13.134
1472,2016-01-13,21.14,13.49,12.9932
1471,2016-01-12,21.04,13.17,13.0568
1470,2016-01-11,21.14,13.22,13.17
1469,2016-01-10,21.32,13.3,13.4399
1468,2016-01-09,21.32,13.3,13.4399
1467,2016-01-08,21.32,13.3,13.4399
1466,2016-01-07,21.44,13.62,13.45
1465,2016-01-06,21.14,13.36,13.91
1464,2016-01-05,20.8,13.311,13.86
1463,2016-01-04,20.76,13.19,13.86
1462,2016-01-03,20.46,13.19,14.27
1461,2016-01-02,20.46,13.19,14.27
1460,2016-01-01,20.46,13.19,14.27
1459,2015-12-31,20.46,13.19,14.27
1458,2015-12-30,20.46,13.21,14.2399
1457,2015-12-29,20.6,13.27,14.2399
1456,2015-12-28,20.64,13.29,13.93
1455,2015-12-27,20.78,13.69,14.1499
1454,2015-12-26,20.78,13.69,14.1499
1453,2015-12-25,20.78,13.69,14.1499
1452,2015-12-24,20.78,13.69,14.1499
1451,2015-12-23,20.64,13.62,14.1
1450,2015-12-22,20.7,13.59,13.9601
1449,2015-12-21,20.8,13.59,14.27
1448,2015-12-20,20.58,13.425,14.02
1447,2015-12-19,20.58,13.425,14.02
1446,2015-12-18,20.58,13.425,14.02
1445,2015-12-17,20.3,13.08,13.629
1444,2015-12-16,20.74,13.49,13.86
1443,2015-12-15,20.48,13.11,13.711
1442,2015-12-14,20.54,13.06,14.02
1441,2015-12-13,20.78,13.3,14.058
1440,2015-12-12,20.78,13.3,14.058
1439,2015-12-11,20.78,13.3,14.058
1438,2015-12-10,20.7,13.45,13.7944
1437,2015-12-09,20.7,13.49,13.782
1436,2015-12-08,20.74,13.51,13.7699
1435,2015-12-07,20.7,13.62,13.5896
1434,2015-12-06,21.0,13.87,13.82
1433,2015-12-05,21.0,13.87,13.82
1432,2015-12-04,21.0,13.87,13.82
1431,2015-12-03,20.52,13.46,13.655
1430,2015-12-02,20.3,13.37,13.6267
1429,2015-12-01,20.62,13.51,13.78
1428,2015-11-30,20.56,13.44,13.6888
1427,2015-11-29,20.44,13.46,13.65
1426,2015-11-28,20.44,13.46,13.65
1425,2015-11-27,20.44,13.46,13.65
1424,2015-11-26,20.66,13.52,13.65
1423,2015-11-25,20.66,13.52,13.65
1422,2015-11-24,20.78,13.51,13.85
1421,2015-11-23,20.62,13.45,13.4399
1420,2015-11-22,20.8,13.5,13.705
1419,2015-11-21,20.8,13.5,13.705
1418,2015-11-20,20.8,13.5,13.705
1417,2015-11-19,20.9,13.62,13.92
1416,2015-11-18,20.64,13.52,13.82
1415,2015-11-17,20.66,13.55,14.15
1414,2015-11-16,20.92,13.6,14.15
1413,2015-11-15,20.9,13.59,14.5
1412,2015-11-14,20.9,13.59,14.5
1411,2015-11-13,20.9,13.59,14.5
1410,2015-11-12,20.94,13.64,14.5
1409,2015-11-11,20.96,13.64,14.7957
1408,2015-11-10,21.0,13.76,14.7957
1407,2015-11-09,21.06,13.89,14.98
1406,2015-11-08,21.0,14.08,15.65
1405,2015-11-07,21.0,14.08,15.65
1404,2015-11-06,21.0,14.08,15.65
1403,2015-11-05,21.3,14.3,15.65
1402,2015-11-04,21.36,14.38,15.65
1401,2015-11-03,21.56,14.58,15.55
1400,2015-11-02,21.9,14.72,15.41
1399,2015-11-01,22.04,14.8,15.4101
1398,2015-10-31,22.04,14.8,15.4101
1397,2015-10-30,22.04,14.8,15.4101
1396,2015-10-29,22.12,14.88,15.67
1395,2015-10-28,22.36,15.26,15.8496
1394,2015-10-27,22.54,15.13,15.8496
1393,2015-10-26,22.48,15.11,15.8496
1392,2015-10-25,22.5,15.12,15.8496
1391,2015-10-24,22.5,15.12,15.8496
1390,2015-10-23,22.5,15.12,15.8496
1389,2015-10-22,22.54,15.11,15.8496
1388,2015-10-21,22.54,14.99,15.8496
1387,2015-10-20,22.76,15.19,15.8496
1386,2015-10-19,22.58,15.11,15.8496
1385,2015-10-18,22.7,15.28,16.13
1384,2015-10-17,22.7,15.28,16.13
1383,2015-10-16,22.7,15.28,16.13
1382,2015-10-15,22.86,15.39,16.0
1381,2015-10-14,22.96,15.42,16.0
1380,2015-10-13,22.56,15.16,16.0
1379,2015-10-12,22.46,15.13,16.0847
1378,2015-10-11,22.36,15.12,15.7399
1377,2015-10-10,22.36,15.12,15.7399
1376,2015-10-09,22.36,15.12,15.7399
1375,2015-10-08,22.02,14.99,15.7399
1374,2015-10-07,22.12,15.29,15.75
1373,2015-10-06,22.16,15.07,15.7608
1372,2015-10-05,21.92,14.89,15.79
1371,2015-10-04,22.0,14.55,15.6438
1370,2015-10-03,22.0,14.55,15.6438
1369,2015-10-02,22.0,14.55,15.6438
1368,2015-10-01,21.52,13.9,15.3676
1367,2015-09-30,21.56,13.87,15.6
1366,2015-09-29,21.8,13.97,15.14
1365,2015-09-28,21.88,13.94,14.9945
1364,2015-09-27,22.16,14.4,15.29
1363,2015-09-26,22.16,14.4,15.29
1362,2015-09-25,22.16,14.4,15.29
1361,2015-09-24,22.26,14.43,15.404
1360,2015-09-23,21.82,14.12,15.4746
1359,2015-09-22,21.76,14.14,15.4746
1358,2015-09-21,21.88,14.49,16.0699
1357,2015-09-20,22.02,14.47,15.92
1356,2015-09-19,22.02,14.47,15.92
1355,2015-09-18,22.02,14.47,15.92
1354,2015-09-17,21.88,14.42,16.6
1353,2015-09-16,21.62,14.22,16.0716
1352,2015-09-15,21.34,13.77,16.0716
1351,2015-09-14,21.44,13.79,16.3
1350,2015-09-13,21.42,13.95,16.36
1349,2015-09-12,21.42,13.95,16.36
1348,2015-09-11,21.42,13.95,16.36
1347,2015-09-10,21.44,13.99,16.36
1346,2015-09-09,21.4,13.93,16.27
1345,2015-09-08,21.68,14.12,16.28
1344,2015-09-07,21.66,13.92,15.5899
1343,2015-09-06,21.66,13.92,15.5899
1342,2015-09-05,21.66,13.92,15.5899
1341,2015-09-04,21.66,13.92,15.5899
1340,2015-09-03,21.76,14.02,15.929
1339,2015-09-02,21.9,14.02,15.61
1338,2015-09-01,22.04,13.94,15.44
1337,2015-08-31,21.96,13.99,15.7399
1336,2015-08-30,21.9,13.92,15.79
1335,2015-08-29,21.9,13.92,15.79
1334,2015-08-28,21.9,13.92,15.79
1333,2015-08-27,21.7,13.8,15.65
1332,2015-08-26,21.74,13.56,15.04
1331,2015-08-25,22.04,13.99,15.436
1330,2015-08-24,22.28,14.13,14.9901
1329,2015-08-23,22.4,14.61,15.42
1328,2015-08-22,22.4,14.61,15.42
1327,2015-08-21,22.4,14.61,15.42
1326,2015-08-20,22.28,14.78,15.58
1325,2015-08-19,21.88,14.57,15.319
1324,2015-08-18,21.6,14.22,15.3
1323,2015-08-17,21.58,14.63,15.5552
1322,2015-08-16,21.56,14.55,15.73
1321,2015-08-15,21.56,14.55,15.73
1320,2015-08-14,21.56,14.55,15.73
1319,2015-08-13,21.54,14.71,15.85
1318,2015-08-12,21.72,14.82,15.8524
1317,2015-08-11,21.44,14.64,15.78
1316,2015-08-10,21.32,14.54,15.73
1315,2015-08-09,21.12,14.11,15.73
1314,2015-08-08,21.12,14.11,15.73
1313,2015-08-07,21.12,14.11,15.73
1312,2015-08-06,21.04,13.99,15.8565
1311,2015-08-05,20.96,13.95,15.772
1310,2015-08-04,21.04,13.92,15.847
1309,2015-08-03,20.98,13.87,15.847
1308,2015-08-02,21.16,14.08,16.1519
1307,2015-08-01,21.16,14.08,16.1519
1306,2015-07-31,21.16,14.08,16.1519
1305,2015-07-30,21.02,14.09,16.1519
1304,2015-07-29,21.2,14.15,16.1519
1303,2015-07-28,21.16,14.02,16.238
1302,2015-07-27,21.16,13.92,15.9
1301,2015-07-26,21.24,14.02,16.1
1300,2015-07-25,21.24,14.02,16.1
1299,2015-07-24,21.24,14.02,16.1
1298,2015-07-23,21.04,14.0,16.1
1297,2015-07-22,21.12,14.14,16.4
1296,2015-07-21,21.24,14.14,16.6601
1295,2015-07-20,21.3,14.05,16.6216
1294,2015-07-19,21.9,14.23,16.85
1293,2015-07-18,21.9,14.23,16.85
1292,2015-07-17,21.9,14.23,16.85
1291,2015-07-16,22.12,14.35,17.0
1290,2015-07-15,22.2,14.43,17.16
1289,2015-07-14,22.34,14.69,17.16
1288,2015-07-13,22.4,14.81,17.2028
1287,2015-07-12,22.48,14.88,17.09
1286,2015-07-11,22.48,14.88,17.09
1285,2015-07-10,22.48,14.88,17.09
1284,2015-07-09,22.46,14.76,17.2
1283,2015-07-08,22.42,14.46,16.89
1282,2015-07-07,22.36,14.43,16.58
1281,2015-07-06,22.6,14.99,17.11
1280,2015-07-05,22.54,14.95,17.85
1279,2015-07-04,22.54,14.95,17.85
1278,2015-07-03,22.54,14.95,17.85
1277,2015-07-02,22.54,14.95,17.85
1276,2015-07-01,22.6,14.9,17.81
1275,2015-06-30,22.68,15.03,17.687
1274,2015-06-29,22.78,15.03,19.304
1273,2015-06-28,22.7,15.11,19.304
1272,2015-06-27,22.7,15.11,19.304
1271,2015-06-26,22.7,15.11,19.304
1270,2015-06-25,22.66,15.17,17.611
1269,2015-06-24,22.7,15.19,17.611
1268,2015-06-23,22.78,15.14,17.6
1267,2015-06-22,22.9,15.49,17.04
1266,2015-06-21,23.2,15.42,16.9561
1265,2015-06-20,23.2,15.42,16.9561
1264,2015-06-19,23.2,15.42,16.9561
1263,2015-06-18,23.24,15.46,17.83
1262,2015-06-17,22.94,15.45,17.83
1261,2015-06-16,22.84,15.32,17.83
1260,2015-06-15,22.92,15.4,17.83
1259,2015-06-14,22.82,15.25,18.45
1258,2015-06-13,22.82,15.25,18.45
1257,2015-06-12,22.82,15.25,18.45
1256,2015-06-11,22.86,15.33,18.45
1255,2015-06-10,22.94,15.32,18.45
1254,2015-06-09,22.74,15.29,18.45
1253,2015-06-08,22.7,15.32,18.1301
1252,2015-06-07,22.64,15.39,18.1301
1251,2015-06-06,22.64,15.39,18.1301
1250,2015-06-05,22.64,15.39,18.1301
1249,2015-06-04,22.76,15.48,18.1301
1248,2015-06-03,22.92,15.83,18.4799
1247,2015-06-02,23.08,16.07,18.5
1246,2015-06-01,23.0,16.0,18.5
1245,2015-05-31,23.02,15.99,18.5
1244,2015-05-30,23.02,15.99,18.5
1243,2015-05-29,23.02,15.99,18.5
1242,2015-05-28,22.98,15.97,18.9
1241,2015-05-27,22.96,15.96,18.9
1240,2015-05-26,22.96,16.02,18.875
1239,2015-05-25,23.3,16.34,18.875
1238,2015-05-24,23.3,16.34,18.875
1237,2015-05-23,23.3,16.34,18.875
1236,2015-05-22,23.3,16.34,18.875
1235,2015-05-21,23.32,16.39,19.312
1234,2015-05-20,23.4,16.37,19.03
1233,2015-05-19,23.36,16.38,19.1
1232,2015-05-18,23.68,16.89,19.656
1231,2015-05-17,23.68,16.75,19.71
1230,2015-05-16,23.68,16.75,19.71
1229,2015-05-15,23.68,16.75,19.71
1228,2015-05-14,23.62,16.65,19.71
1227,2015-05-13,23.48,16.35,19.7184
1226,2015-05-12,23.08,15.81,19.7101
1225,2015-05-11,22.88,15.57,19.64
1224,2015-05-10,23.0,15.76,19.64
1223,2015-05-09,23.0,15.76,19.64
1222,2015-05-08,23.0,15.76,19.64
1221,2015-05-07,22.88,15.6,19.64
1220,2015-05-06,23.06,15.77,19.6642
1219,2015-05-05,23.06,15.81,19.79
1218,2015-05-04,22.98,15.7,19.636
1217,2015-05-03,22.78,15.47,19.8499
1216,2015-05-02,22.78,15.47,19.8499
1215,2015-05-01,22.78,15.47,19.8499
1214,2015-04-30,22.88,15.43,19.37
1213,2015-04-29,23.28,15.81,18.85
1212,2015-04-28,23.46,15.87,18.749
1211,2015-04-27,23.26,15.66,18.749
1210,2015-04-26,22.8,15.06,18.36
1209,2015-04-25,22.8,15.06,18.36
1208,2015-04-24,22.8,15.06,18.36
1207,2015-04-23,23.12,15.21,18.36
1206,2015-04-22,22.96,15.11,18.0544
1205,2015-04-21,23.26,15.32,18.21
1204,2015-04-20,23.12,15.29,18.456
1203,2015-04-19,23.28,15.56,18.6564
1202,2015-04-18,23.28,15.56,18.6564
1201,2015-04-17,23.28,15.56,18.6564
1200,2015-04-16,23.2,15.57,18.6564
1199,2015-04-15,23.26,15.63,18.27
1198,2015-04-14,23.06,15.51,17.98
1197,2015-04-13,23.22,15.6,18.44
1196,2015-04-12,23.36,15.77,18.5499
1195,2015-04-11,23.36,15.77,18.5499
1194,2015-04-10,23.36,15.77,18.5499
1193,2015-04-09,23.12,15.51,18.44
1192,2015-04-08,23.28,15.81,18.44
1191,2015-04-07,23.4,16.15,18.6608
1190,2015-04-06,23.52,16.27,18.43
1189,2015-04-05,23.24,16.02,18.43
1188,2015-04-04,23.24,16.02,18.43
1187,2015-04-03,23.24,16.02,18.43
1186,2015-04-02,23.24,16.02,18.43
1185,2015-04-01,23.3,16.23,18.4281
1184,2015-03-31,22.9,15.93,18.59
1183,2015-03-30,22.92,15.98,18.8
1182,2015-03-29,23.2,16.22,19.062
1181,2015-03-28,23.2,16.22,19.062
1180,2015-03-27,23.2,16.22,19.062
1179,2015-03-26,23.3,16.3,19.062
1178,2015-03-25,23.12,16.24,18.86
1177,2015-03-24,23.1,16.28,18.86
1176,2015-03-23,23.02,16.3,19.47
1175,2015-03-22,22.88,16.0,18.29
1174,2015-03-21,22.88,16.0,18.29
1173,2015-03-20,22.88,16.0,18.29
1172,2015-03-19,22.62,15.44,17.52
1171,2015-03-18,22.64,15.36,17.52
1170,2015-03-17,22.2,14.9,17.91
1169,2015-03-16,22.34,14.9899,18.09
1168,2015-03-15,22.34,14.9,18.09
1167,2015-03-14,22.34,14.9,18.09
1166,2015-03-13,22.34,14.9,18.09
1165,2015-03-12,22.3,14.92,17.69
1164,2015-03-11,22.32,14.84,17.69
1163,2015-03-10,22.44,15.02,17.62
1162,2015-03-09,22.56,15.1,18.051
1161,2015-03-08,22.56,15.19,17.6564
1160,2015-03-07,22.56,15.19,17.6564
1159,2015-03-06,22.56,15.19,17.6564
1158,2015-03-05,23.2,15.53,18.02
1157,2015-03-04,23.2,15.49,17.98
1156,2015-03-03,23.28,15.5799,17.98
1155,2015-03-02,23.3,15.66,17.9801
1154,2015-03-01,23.42,15.87,17.9801
1153,2015-02-28,23.42,15.87,17.9801
1152,2015-02-27,23.42,15.87,17.9801
1151,2015-02-26,23.38,15.84,18.5599
1150,2015-02-25,23.32,15.83,17.9772
1149,2015-02-24,23.24,15.56,17.448
1148,2015-02-23,23.26,15.63,17.448
1147,2015-02-22,23.22,15.54,17.54
1146,2015-02-21,23.22,15.54,17.54
1145,2015-02-20,23.22,15.54,17.54
1144,2015-02-19,23.38,15.7,17.6597
1143,2015-02-18,23.46,15.75,17.624
1142,2015-02-17,23.4,15.83,17.296
1141,2015-02-16,23.78,16.54,17.695
1140,2015-02-15,23.78,16.54,17.695
1139,2015-02-14,23.78,16.54,17.695
1138,2015-02-13,23.78,16.54,17.695
1137,2015-02-12,23.66,16.15,17.695
1136,2015-02-11,23.6,16.08,17.36
1135,2015-02-10,23.88,16.19,17.2899
1134,2015-02-09,24.0,16.32,17.52
1133,2015-02-08,23.92,16.03,17.4201
1132,2015-02-07,23.92,16.03,17.4201
1131,2015-02-06,23.92,16.03,17.4201
1130,2015-02-05,24.56,16.58,17.5701
1129,2015-02-04,24.5,16.63,17.344
1128,2015-02-03,24.4,16.55,17.344
1127,2015-02-02,24.68,16.47,16.68
1126,2015-02-01,24.86,16.54,16.68
1125,2015-01-31,24.86,16.54,16.68
1124,2015-01-30,24.86,16.54,16.68
1123,2015-01-29,24.32,16.24,16.68
1122,2015-01-28,24.88,17.23,16.75
1121,2015-01-27,25.06,17.33,16.73
1120,2015-01-26,24.78,17.13,17.0633
1119,2015-01-25,25.04,17.51,16.91
1118,2015-01-24,25.04,17.51,16.91
1117,2015-01-23,25.04,17.51,16.91
1116,2015-01-22,25.24,17.61,17.395
1115,2015-01-21,25.04,17.37,17.5242
1114,2015-01-20,25.04,17.18,17.571
1113,2015-01-19,24.7,16.95,17.829
1112,2015-01-18,24.7,16.95,17.829
1111,2015-01-17,24.7,16.95,17.829
1110,2015-01-16,24.7,16.95,17.829
1109,2015-01-15,24.36,16.15,17.49
1108,2015-01-14,23.76,16.13,16.9199
1107,2015-01-13,23.82,16.29,18.61
1106,2015-01-12,23.88,15.87,18.61
1105,2015-01-11,23.64,15.77,18.61
1104,2015-01-10,23.64,15.77,18.61
1103,2015-01-09,23.64,15.77,18.61
1102,2015-01-08,23.38,15.64,18.68
1101,2015-01-07,23.46,15.85,18.7399
1100,2015-01-06,23.58,15.83,18.7399
1099,2015-01-05,23.36,15.5,19.02
1098,2015-01-04,23.0,15.11,19.02
1097,2015-01-03,23.0,15.11,19.02
1096,2015-01-02,23.0,15.11,19.02
1095,2015-01-01,22.88,15.06,19.0156
1094,2014-12-31,22.88,15.06,19.0156
1093,2014-12-30,23.2,15.58,19.26
1092,2014-12-29,22.92,15.11,19.09
1091,2014-12-28,23.14,15.35,18.91
1090,2014-12-27,23.14,15.35,18.91
1089,2014-12-26,23.14,15.35,18.91
1088,2014-12-25,22.72,15.09,19.4899
1087,2014-12-24,22.72,15.09,19.4899
1086,2014-12-23,22.72,15.04,19.4899
1085,2014-12-22,22.7,14.99,19.4899
1084,2014-12-21,23.14,15.39,19.4899
1083,2014-12-20,23.14,15.39,19.4899
1082,2014-12-19,23.14,15.39,19.4899
1081,2014-12-18,23.18,15.2499,19.2
1080,2014-12-17,23.02,15.1,19.2601
1079,2014-12-16,23.18,15.08,19.2601
1078,2014-12-15,23.04,15.47,19.79
1077,2014-12-14,23.66,16.3,19.79
1076,2014-12-13,23.66,16.3,19.79
1075,2014-12-12,23.66,16.3,19.79
1074,2014-12-11,23.72,16.33,19.77
1073,2014-12-10,23.76,16.37,19.49
1072,2014-12-09,23.8,16.32,19.67
1071,2014-12-08,23.32,15.71,19.5
1070,2014-12-07,23.08,15.61,19.561
1069,2014-12-06,23.08,15.61,19.561
1068,2014-12-05,23.08,15.61,19.561
1067,2014-12-04,23.34,15.77,19.519
1066,2014-12-03,23.43,15.73,19.519
1065,2014-12-02,23.22,15.75,19.519
1064,2014-12-01,23.5,15.78,19.42
1063,2014-11-30,22.58,14.83,19.31
1062,2014-11-29,22.58,14.83,19.31
1061,2014-11-28,22.58,14.83,19.31
1060,2014-11-27,23.2,15.87,19.89
1059,2014-11-26,23.2,15.87,19.89
1058,2014-11-25,23.24,15.98,20.18
1057,2014-11-24,23.18,15.78,20.226
1056,2014-11-23,23.24,15.79,20.37
1055,2014-11-22,23.24,15.79,20.37
1054,2014-11-21,23.24,15.79,20.37
1053,2014-11-20,23.12,15.6,20.271
1052,2014-11-19,22.9,15.48,20.38
1051,2014-11-18,23.18,15.55,20.4538
1050,2014-11-17,22.96,15.5,20.4538
1049,2014-11-16,23.06,15.63,20.4538
1048,2014-11-15,23.06,15.63,20.4538
1047,2014-11-14,23.06,15.63,20.4538
1046,2014-11-13,22.48,14.97,20.073
1045,2014-11-12,22.44,15.03,20.504
1044,2014-11-11,22.58,15.11,20.504
1043,2014-11-10,22.26,14.92,20.29
1042,2014-11-09,22.74,15.1,20.46
1041,2014-11-08,22.74,15.1,20.46
1040,2014-11-07,22.74,15.1,20.46
1039,2014-11-06,22.14,14.82,20.34
1038,2014-11-05,22.12,14.66,20.2
1037,2014-11-04,22.6,15.36,20.2
1036,2014-11-03,22.58,15.48,20.61
1035,2014-11-02,22.7,15.5,20.51
1034,2014-11-01,22.7,15.5,20.51
1033,2014-10-31,22.7,15.5,20.51
1032,2014-10-30,23.2,15.82,20.58
1031,2014-10-29,23.46,16.38,20.85
1030,2014-10-28,23.8,16.49,20.84
1029,2014-10-27,23.8,16.42,20.5
1028,2014-10-26,23.84,16.5,20.5304
1027,2014-10-25,23.84,16.5,20.5304
1026,2014-10-24,23.84,16.5,20.5304
1025,2014-10-23,23.88,16.5,20.48
1024,2014-10-22,24.06,16.46,20.26
1023,2014-10-21,24.16,16.81,20.4899
1022,2014-10-20,24.14,16.73,20.14
1021,2014-10-19,23.98,16.58,20.06
1020,2014-10-18,23.98,16.58,20.06
1019,2014-10-17,23.98,16.58,20.06
1018,2014-10-16,24.0,16.67,20.06
1017,2014-10-15,23.96,16.71,20.2
1016,2014-10-14,23.88,16.68,20.64
1015,2014-10-13,23.86,16.73,20.56
1014,2014-10-12,23.7,16.64,20.35
1013,2014-10-11,23.7,16.64,20.35
1012,2014-10-10,23.7,16.64,20.35
1011,2014-10-09,23.68,16.62,20.39
1010,2014-10-08,23.66,16.68,20.42
1009,2014-10-07,23.44,16.48,20.425
1008,2014-10-06,23.38,16.6,20.44
1007,2014-10-05,23.06,16.12,20.27
1006,2014-10-04,23.06,16.12,20.27
1005,2014-10-03,23.06,16.12,20.27
1004,2014-10-02,23.5,16.41,20.3
1003,2014-10-01,23.54,16.48,20.3
1002,2014-09-30,23.4,16.35,20.3
1001,2014-09-29,23.56,16.78,20.5209
1000,2014-09-28,23.58,16.9,20.4799
999,2014-09-27,23.58,16.9,20.4799
998,2014-09-26,23.58,16.9,20.4799
997,2014-09-25,23.66,16.83,20.4799
996,2014-09-24,23.58,16.99,20.677
995,2014-09-23,23.66,17.07,20.49
994,2014-09-22,23.52,17.08,20.49
993,2014-09-21,23.58,17.19,20.77
992,2014-09-20,23.58,17.19,20.77
991,2014-09-19,23.58,17.19,20.77
990,2014-09-18,23.72,17.77,20.9
989,2014-09-17,23.66,17.77,21.322
988,2014-09-16,23.92,17.95,21.322
987,2014-09-15,23.88,17.92,20.8301
986,2014-09-14,23.82,17.89,20.8301
985,2014-09-13,23.82,17.89,20.8301
984,2014-09-12,23.82,17.89,20.8301
983,2014-09-11,24.08,17.959,20.93
982,2014-09-10,24.2,18.24,21.34
981,2014-09-09,24.34,18.31,21.34
980,2014-09-08,24.3,18.26,21.34
979,2014-09-07,24.58,18.42,21.34
978,2014-09-06,24.58,18.42,21.34
977,2014-09-05,24.58,18.42,21.34
976,2014-09-04,24.46,18.32,21.32
975,2014-09-03,24.58,18.43,21.12
974,2014-09-02,24.52,18.41,21.37
973,2014-09-01,24.92,18.71,21.6276
972,2014-08-31,24.92,18.71,21.6276
971,2014-08-30,24.92,18.71,21.6276
970,2014-08-29,24.92,18.71,21.6276
969,2014-08-28,24.98,18.74,21.6276
968,2014-08-27,24.82,18.66,21.6276
967,2014-08-26,24.82,18.63,21.705
